K,coherence,exclusivity,coherence_rescaled,exclusivity_rescaled,composite
2,0.379129,1.000000,0.236204,1.000000,0.618102
3,0.380010,1.000000,0.239956,1.000000,0.619978
4,0.323689,0.994253,0.000000,0.944365,0.472183
5,0.535518,0.975369,0.902508,0.761566,0.832037
6,0.516759,0.997701,0.822582,0.977746,0.900164
7,0.364860,0.896699,0.175409,0.000000,0.087704
8,0.372935,0.912891,0.209815,0.156743,0.183279
9,0.558401,0.930545,1.000000,0.327646,0.663823
10,0.487672,0.922081,0.698655,0.245712,0.472184
