automobile	cars,ban,japan,vehicles,driving,self,self driving,country,urged,charging,corporation,director,secure,cities,ev
entertainment	actor,actress,instagram,shooting,film,wrote,shah,according,ott,daughter,seen,play,khan,work,break
politics	bjp,cm,chief,party,farmers,ji,bihar,polls,leader,assembly,punjab,elections,president,minister,away
science	space,researchers,years,american,discovered,record,year,shared,air,announced,area,russian,revealed,working,university
sports	season,match,india,cricket,video,team,kohli,australia,odi,team india,south africa,africa,ipl,run,playing
technology	google,facebook,report,spotted,use,project,oil,dropped,planned,electric,apple,company,based,seeking,indian
world	man,police,fight,biden,vaccine,november,covid vaccine,covid,pandemic,woman,attack,coronavirus,arrested,health,hit
