Topic1,Topic2,Topic3
0.576739319105132,0.0210324040832981,0.402228276811571
0.906746317714577,0.0141253068800882,0.079128375405335
0.746723244357498,0.0689078004656115,0.18436895517689
0.184292025164344,0.111237979021416,0.704469995814241
0.509360986435688,0.218381871290147,0.272257142274164
0.390815529430955,0.160248092954288,0.448936377614757
0.0645413698582857,0.0170197643270644,0.91843886581465
0.39345016453771,0.132561773220775,0.473988062241515
0.252826441017439,0.0533413283370309,0.693832230645531
0.0549671772312024,0.030326152276377,0.91470667049242
0.381376908124658,0.0274224122772412,0.591200679598101
0.434115523315633,0.0490351000204575,0.51684937666391
0.0485564785464618,0.0112405821273903,0.940202939326148
0.866687465041068,0.0443965750754827,0.0889159598834492
0.0689410137226647,0.0207257520890295,0.910333234188306
0.965138795001683,0.0230325892973401,0.0118286157009764
0.847396273205363,0.0256522559089887,0.126951470885648
0.128894559506627,0.0177075553254753,0.853397885167897
0.030057788561532,0.0176919250226189,0.952250286415849
0.541249328380135,0.227410040903369,0.231340630716496
0.361895278534683,0.0662248065533934,0.571879914911924
0.0364475342118187,0.0271699554122854,0.936382510375896
0.0380790491295025,0.0115795728526722,0.950341378017825
0.387891573818683,0.0368507828966318,0.575257643284685
0.51470717928362,0.0247347022517327,0.460558118464647
0.753730245043641,0.0196716867237599,0.226598068232599
0.181164047119884,0.0683319070732589,0.750504045806858
0.312617174840747,0.0334415091450138,0.653941316014239
0.179855932180057,0.110879880599736,0.709264187220206
0.0462460838863464,0.0293998584638434,0.92435405764981
0.124827843324194,0.0213984352069805,0.853773721468825
0.0479274719587588,0.0099672426438692,0.942105285397372
0.941076601472598,0.0147697895107601,0.0441536090166419
0.423897208329909,0.0147084449320433,0.561394346738048
0.309948097658799,0.174165610080964,0.515886292260236
0.267405071774497,0.0190507434507794,0.713544184774724
0.502497246810194,0.0146250409421483,0.482877712247658
0.0383533620404252,0.0201901817073807,0.941456456252194
0.175577023501382,0.128164398161425,0.696258578337193
0.0916639293848511,0.115304505277348,0.793031565337801
0.969742537851818,0.00806294130052628,0.0221945208476558
0.386436845854421,0.0299233708357638,0.583639783309815
0.867484997014266,0.0539804639755209,0.0785345390102127
0.523075616460715,0.0622051087528933,0.414719274786392
0.811382101647546,0.0777346694527472,0.110883228899707
0.720397710380202,0.0103199005520036,0.269282389067794
0.550222505454395,0.127386558180315,0.32239093636529
0.687533934681556,0.0763389009359001,0.236127164382544
0.0294535712486494,0.0131585205932526,0.957387908158098
0.169351848511806,0.0273664980937353,0.803281653394459
0.0427242732487739,0.0502417864180826,0.907033940333143
0.0989706971148326,0.132753622563533,0.768275680321634
0.17589083791425,0.126716806709948,0.697392355375801
0.0272855250390991,0.0141534976815874,0.958560977279314
0.52745000602618,0.0214904083515901,0.45105958562223
0.348955647599686,0.063026692013898,0.588017660386416
0.308251671687279,0.280267252651063,0.411481075661658
0.214221497677311,0.0981930706089546,0.687585431713734
0.0299890333695475,0.0158788887361588,0.954132077894294
0.383652344265174,0.0559683397778784,0.560379315956948
0.437811822207293,0.0386500311495165,0.523538146643191
0.068870664013588,0.0915273069595564,0.839602029026856
0.135156795401543,0.0485875373802572,0.8162556672182
0.0308623625051398,0.0556805706350874,0.913457066859773
0.136661764227648,0.0302481117343983,0.833090124037954
0.918036039008548,0.0262798571290317,0.0556841038624201
0.191931153387404,0.03071893342146,0.777349913191136
0.772735655136961,0.017388793575323,0.209875551287717
0.407372974025807,0.0310611526532508,0.561565873320943
0.930215104969829,0.0306792567390416,0.039105638291129
0.109289962580691,0.0196754405277534,0.871034596891555
0.936890756863187,0.015231432060575,0.0478778110762384
0.117941476237246,0.0498379199587574,0.832220603803997
0.107418608115271,0.0411499790161619,0.851431412868567
0.0584249819661706,0.0198462604091697,0.92172875762466
0.0335049386342764,0.163745900667404,0.80274916069832
0.961884002168979,0.0179014488122028,0.0202145490188182
0.937151862436244,0.0287898545677543,0.0340582829960024
0.409258097069867,0.0333184868922508,0.557423416037882
0.834052925012497,0.0895052320886452,0.0764418428988576
0.941217819489274,0.0165988488049623,0.0421833317057631
0.0328804166385588,0.019551688132749,0.947567895228692
0.70430179121228,0.0577756501370973,0.237922558650623
0.873284128193846,0.0152454767276445,0.11147039507851
0.338950515823061,0.0639350500211925,0.597114434155746
0.119282870746826,0.0920011574648669,0.788715971788307
0.0346007311407824,0.0347532440401261,0.930646024819092
0.471712208328456,0.0414277704182246,0.48686002125332
0.97233729106971,0.00763444658951417,0.0200282623407753
0.733378415739689,0.0348980340846215,0.231723550175689
0.447685184775719,0.0281452527933494,0.524169562430932
0.0343342240828823,0.018084894029189,0.947580881887929
0.954786477186414,0.00880507674970857,0.036408446063878
0.374056123642324,0.0174969544531525,0.608446921904524
0.42605490613478,0.0533334654457545,0.520611628419466
0.0464189972835731,0.0161776071656658,0.937403395550761
0.0800813107380351,0.0265156253289685,0.893403063932997
0.953750473630753,0.0168116207350283,0.0294379056342187
0.644572908097355,0.0133158067638706,0.342111285138774
0.951227412512563,0.0245286515108363,0.0242439359766005
0.0853113697977311,0.0169136120719101,0.897775018130359
0.954293757878752,0.0156591188231987,0.030047123298049
0.257319575129633,0.0309708474588136,0.711709577411554
0.75608733658479,0.0756574176150058,0.168255245800204
0.14194141540791,0.0112837499023951,0.846774834689695
0.118895694652735,0.0161221354550732,0.864982169892192
0.648796268258771,0.0207465081780528,0.330457223563176
0.151721582611064,0.0378664621973293,0.810411955191607
0.510602763053892,0.0856529367812115,0.403744300164897
0.48785949809912,0.0325988644244651,0.479541637476415
0.298370474425815,0.0779387226982238,0.623690802875961
0.0303921381816759,0.0172043555593301,0.952403506258994
0.248266830554831,0.0288006723511311,0.722932497094038
0.152981603196125,0.0350916255817339,0.811926771222141
0.121446350309891,0.0361738406068101,0.842379809083299
0.302658897261357,0.0175606439335369,0.679780458805106
0.218820883595811,0.129191156754712,0.651987959649477
0.0700396423464269,0.524820653985276,0.405139703668297
0.460392760706757,0.0765103174825428,0.463096921810701
0.0568517911353003,0.0192595131002085,0.923888695764491
0.702617540645886,0.0713710878078814,0.226011371546232
0.138865233172407,0.0169684166065772,0.844166350221016
0.109565857445084,0.0286028905630464,0.861831251991869
0.17925082185489,0.105749265539507,0.714999912605604
0.0690474658629909,0.0178796097237382,0.913072924413271
0.0890987182830353,0.0210725494886293,0.889828732228335
0.345491136432874,0.0152672902677986,0.639241573299328
0.0249975352425568,0.0135450576488354,0.961457407108608
0.27834222731338,0.0186409493630137,0.703016823323606
0.376338880076974,0.0180048066944758,0.60565631322855
0.550947881664319,0.0155780613595159,0.433474056976166
0.540810725130362,0.0235437519254241,0.435645522944214
0.712441076771227,0.0493133445090413,0.238245578719732
0.107836759530118,0.0298967434876206,0.862266496982261
0.856804227025591,0.0142207629640216,0.128975010010388
0.603449300316868,0.0195136931042231,0.377037006578909
0.487096610848902,0.057662981397502,0.455240407753596
0.249592370039941,0.0642048393227236,0.686202790637336
0.671639956002777,0.103953331033576,0.224406712963647
0.355359937087285,0.0134411918858901,0.631198871026825
0.912703870428008,0.0506782327972935,0.0366178967746989
0.85652725920773,0.0632169364445504,0.0802558043477194
0.289591269588957,0.0171715020684855,0.693237228342558
0.0946546526588815,0.020310449285642,0.885034898055477
0.285187702232075,0.0153031918653842,0.699509105902541
0.199326224257619,0.0267441336400199,0.773929642102361
0.391319075947121,0.0134395446219763,0.595241379430903
0.0408961566713817,0.172326407166774,0.786777436161844
0.0436705023657424,0.0204706421260944,0.935858855508163
0.0374236122783615,0.021577416923403,0.940998970798235
0.247336049843136,0.093188205315734,0.65947574484113
0.411227639786091,0.0916786097109704,0.497093750502939
0.202013502807209,0.013665398176862,0.784321099015929
0.963187539788435,0.00814509968533129,0.0286673605262337
0.445306827684125,0.0213089195242696,0.533384252791606
