"K","coherence","exclusivity","coherence_s","exclusivity_s","composite"
2,-32.7403158907404,7.71936656856026,1,0,0.5
3,-36.1055301269488,8.10642021320222,0.717840802561651,0.474516287126113,0.596178544843882
4,-39.869263502971,8.30749927138844,0.402267435099949,0.721033247837341,0.561650341468645
5,-44.6669667557851,8.4764063801261,0,0.928108352843891,0.464054176421945
6,-44.476420683036,8.5350469891126,0.0159764945671006,1,0.50798824728355
